00100008 start
001A03A0 CB3HUD::Update(float)
001A0560 CB3HUD::Prepare(void)
001A0660 CB3HUDManager::SetNumPlayers(int)
001A0790 CB3HUDManager::Render(void)
001A09A0 CB3HUDManager::PrepareCrashComponents(void)
001A0AF0 CB3HUDManager::PrepareNormalComponents(void)
001A1210 CB3HUDManager::PrepareScoreList(void)
001A12B0 CB3HUDManager::Prepare(void)
001A1920 CB3HUDManager::Construct(void)
001A1CD0 CB3HUDScore::UpdateScoreObject(float)
001A2260 CB3HUDScore::Update(float)
001A22A0 CB3HUDScore::UpdateMessageGeneric(CB3HUDScore::CScoreMessage *,CB3HUDPrimaryMessage::EMessageType,int,const ushort *,float)
001A2700 CB3HUDScore::UpdateSmallMessage(float)
001A37A0 CB3HUDScore::Prepare(int,EHUDAlign,int,int)
001A3B30 CB3HUDSpeedo::Update(float)
001A3C70 CB3HUDSpeedo::Prepare(EPlayerCarIndex,EHUDAlign,int)
001A3F40 CB3HUDBoostBar::UpdateTransition(float,bool,EHUDMode,EHUDMode)
001A45F0 CB3HUDBoostBar::UpdateBoostMessage(CB3HUDBoostBar::EMessageType,CB3ScoreCategory const *,float,float)
001A4900 CB3HUDBoostBar::BarUpdate(float)
001A52D0 CB3HUDBoostBar::Prepare(int,EHUDAlign,int,bool,CB3HUDHeading *const)
001A5740 C2dObjectBoostBarMessage::Render(CGt2dObject::CGt2dObjectSpace const &,void const *)
001AB010 CB3CollidingBody::ClearAccumulatedValues(void)
001AB610 CB3CollidingBody::SetInitialMatrix(GtMathPs2::CGtMatrix3x4 const &)
001ABDD0 CB3CollidingBody::StopCrashing(void)
001AC470 CB3CollidingBody::Update(float)
001AD380 CB3CollidingBody::Prepare(void)
001AD890 CB3CrashActionDirector::HandleCrashingVehicleWorldCollision(CB3VehiclePhysics *)
001ADA00 CB3CrashActionDirector::DoTankerExplosion(CB3TrafficPhysics *,float,CGtAxisAlignedBox *,bool)
001ADC70 CB3CrashActionDirector::HandleCrashingVehicleVehicleCollision(CB3CollidingPair *)
001AE3F0 CB3CrashActionDirector::ExplodeVehicle(GtMathPs2::CGtV3d,CB3VehiclePhysics *)
001AE4A0 CB3CrashActionDirector::SetSympatheticTraffic(int,CB3VehiclePhysics *)
001AE500 CB3CrashActionDirector::StartTrafficCrashing(CB3TrafficPhysics *,int)
001AE660 CB3CrashActionDirector::StopRaceCarCrashing(int)
001AF450 CB3CrashActionDirector::StartRaceCarCrashing(CB3RaceCarPhysics *,int,CB3CollidingPair *,CB3CrashStartInfo *)
001B1240 CB3CrashActionDirector::UpdateTraffic(CB3CADTrafficData *,CB3TrafficPhysics *,float)
001B1CC0 CB3CrashActionDirector::Update(float)
001B20D0 CB3CrashActionDirector::UpdateRaceCar(int,CB3RaceCarPhysics *,float)
001B2760 CB3CrashActionDirector::Prepare(void)
001B2A00 CB3CrashActionDirector::Construct(void)
001B2A40 CB3PhysicsManager::StopRaceCarBodyPartsCrashing(int)
001B2BA0 CB3PhysicsManager::DoCrashBreaker(CB3VehiclePhysics *)
001B3EA0 CB3PhysicsManager::UpdateNearMissArray(void)
001B3F90 CB3PhysicsManager::ClearCrashingBodies(int)
001B41D0 CB3PhysicsManager::CrashTrafficBody(CB3ActiveBody *,int,int,bool,bool,bool)
001B4530 CB3PhysicsManager::DynamisePropBody(CB3ActiveBody *)
001B4810 CB3PhysicsManager::AllowCollision(CB3ActiveBody &,CB3ActiveBody &)
001B4AB0 CB3PhysicsManager::GetIntervals(CB3ActiveBody *)
001B4BF0 CB3PhysicsManager::BodyBodyResponse(CB3CollidingPair *)
001B5730 CB3PhysicsManager::BodyTrafficResponse(CB3CollidingPair *)
001B5AA0 CB3PhysicsManager::VehicleTrafficResponse(CB3CollidingPair *)
001B7220 CB3PhysicsManager::CollideAndRespondPair(CB3CollidingPair *)
001B7C00 CB3PhysicsManager::ExtractActiveBody(int)
001B7E10 CB3PhysicsManager::InsertActiveBody(int)
001B7F30 CB3PhysicsManager::UpdateActiveBodyList(void)
001B82F0 CB3PhysicsManager::InduceTrafficVehicleCrash(CB3TrafficVehicle *,CB3VehiclePhysics *,bool)
001B84A0 CB3PhysicsManager::RemoveTrafficVehicle(CB3TrafficVehicle *)
001B85F0 CB3PhysicsManager::AddTrafficVehicle(CB3TrafficVehicle *)
001B86A0 CB3PhysicsManager::AddBodyPart(CB3VehiclePhysics *,int,EBodyPartType)
001B89D0 CB3PhysicsManager::AddRaceCar(CB3RaceCar *,int)
001B8D20 CB3PhysicsManager::Release(void)
001B8EF0 CB3PhysicsManager::PostEffectsUpdate(void)
001B8F00 CB3PhysicsManager::Update(float)
001B9820 QSortCallback(void const *,void const *)
001B9850 CB3PhysicsManager::Prepare(void)
001BA280 CB3PhysicsManager::Construct(void)
001BA950 CB3ActiveBody::GetInteractionTypeAgainst(CB3ActiveBody *const)
001BAA30 CB3ActiveBody::GetNetworkCollBodyType(void)
001BAAF0 CB3PlayerCarPhysics::DoCrashBreaker(float,bool)
001BAD00 CB3PlayerCarPhysics::ActivateCrashBreaker(void)
001BB250 CB3PlayerCarPhysics::StartCrashing(int,CB3CrashStartInfo *)
001BB6E0 CB3PlayerCarPhysics::GetCrashingDrivingControls(void)
001BD020 CB3PlayerCarPhysics::GetDrivingControls(void)
001BD6A0 CB3PlayerCarPhysics::Update(float)
001BDE50 CB3PlayerCarPhysics::Prepare(CB3RaceCar *)
001BDF10 CB3PlayerCarPhysics::Construct(void)
001BE3C0 CB3PropPhysics::Prepare(CB3Prop *,GtMathPs2::CGtMatrix3x4 *,CGtAxisAlignedBox const &)
001BE8F0 CB3PropPhysics::Construct(void)
001BE990 CB3RaceCarPhysics::DoCrashBreaker(bool)
001BEAA0 CB3RaceCarPhysics::ApplyNonSpinoutPositionedImpulse(GtMathPs2::CGtV3d,GtMathPs2::CGtV3d)
001BEBD0 CB3RaceCarPhysics::ApplyNonSpinoutPositionedForce(GtMathPs2::CGtV3d,GtMathPs2::CGtV3d)
001BED00 CB3RaceCarPhysics::RollingStart(float)
001BFC70 CB3RaceCarPhysics::StartCrashing(int,CB3CrashStartInfo *)
001BFE80 CB3RaceCarPhysics::ResetOnTrack(bool,CB3RaceCarPhysics *)
001C44E0 CB3RaceCarPhysics::LightweightUpdate(float,int)
001C4890 CB3RaceCarPhysics::Update(float)
001C5080 CB3RaceCarPhysics::CacheWorldTriangles(int)
001C5430 CB3RaceCarPhysics::DoDrivingWorldCollision(void)
001C6600 CB3RaceCarPhysics::Prepare(CB3RaceCar *)
001C6F90 CB3Transmission::Update(float,float,int,int)
001C7880 CB3Transmission::Prepare(CB3RaceCarPhysics *)
001CAD30 CB3VehiclePhysics::UpdateCrashSteering(float)
001CBA30 CB3VehiclePhysics::StopCrashing(void)
001CC4C0 CB3VehiclePhysics::FireAirRamUpwards(uint,float,bool)
001CC520 CB3VehiclePhysics::FireAirRam(uint,float,bool)
001CC580 CB3VehiclePhysics::FireAirRamWithDirection(uint,float,GtMathPs2::CGtV3d,bool)
001CC900 CB3VehiclePhysics::UpdateSuspension(float)
001CE470 CB3VehiclePhysics::Update(float)
001CF2B0 CB3VehiclePhysics::Prepare(CB3VehicleEssentialParams *,CB3VehicleParams *)
001CFC00 CB3VehiclePhysics::Prepare(void)
001D0B50 CB3AICarPhysics::UpdateRelativePlayer(void)
001D0D00 CB3AICarPhysics::SetAIInRange(void)
001D1130 CB3AICarPhysics::UpdateAttributes(void)
001D2960 CB3AICarPhysics::Update(float)
001D2C10 CB3AICarPhysics::Prepare(CB3RaceCar *)
001D2D10 CB3AICarPhysics::Construct(void)
001D36E0 CGtFilePS2DVD::Open(CGTFileSystem *,char const *,uint)
001D3830 CGtFileSystemPS2DVD::GetFileObject(uint)
001D3850 CGtFileSystemPS2DVD::Init(uint,CGtFilePS2DVD *,CGtFileBufferPS2DVD *,char const *,int,int,int,char *)
001D3A50 CGtTimer::SetSlowMo(int)
001D3A60 CGtTimer::Update(void)
001D3C50 CGtTimer::Start(void)
001D3C90 CGtTimer::Prepare(void)
001D3CE0 CGtTimer::Construct(void)
001D3D30 CGtTimer::PrepareTimerServices(int)
001D3D70 BootNFSUnderDemo
001D3EE0 CB3Game::SetFrontendFrameRate(bool)
001D3FF0 CB3Game::PreparePowerOff(void)
001D4020 CB3Game::CheckPowerOff(void)
001D41E0 CB3Game::PrepareHardware(void)
001D45B0 CB3Game::ConstructHardware(void)
001D4680 CGt2dFrameHierarchy::ConstructFrameData(int,void *,uint)
001D4F90 CGt2dFrameHierarchy::Prepare(void)
001D51C0 CGt2dFrame::Clean(void)
001D53B0 CGt2dFrame::Sync(CGt2dFrame::CGt2dFrameSpace const &)
001D5B10 CGt2dFrame::Destruct(void)
001D5CE0 CGt2dFrame::ConstructChild(GtMathPs2::CGtV2d const &,GtMathPs2::CGtV2d const &,GtMathPs2::CGtV4d)
001D5D60 CGt2dFrame::ConstructChild(void)
001D5DC0 CGt2dFrame::CGt2dFrameSpace::SetIdentity(void)
001D5E00 CGt2dObject::SetPos(GtMathPs2::CGtV2d const &,GtMathPs2::CGtV2d const &)
001D5E70 CGt2dObject::Prepare(GtMathPs2::CGtV2d const &,GtMathPs2::CGtV2d const &,GtMathPs2::CGtV4d,void (*)(CGt2dObject::CGt2dObjectSpace const &,void const *),uint,uint)
001D60B0 CGt2dObjectImage::Prepare(GtMathPs2::CGtV2d const &,GtMathPs2::CGtV2d const &,GtMathPs2::CGtV2d const &,GtMathPs2::CGtV4d,CGtTexture *,GtMathPs2::CGtV2d const &,GtMathPs2::CGtV2d const &,int)
001D7560 CGt2dScene::DestructObject(int,CGt2dObject *)
001D7580 CGt2dScene::ConstructObject(int,CGt2dFrame *)
001D75C0 CGt2dScene::Render(void)
001D78F0 CGt2dScene::Prepare(void)
001D7960 CGt2dScene::Construct(int,int,int,void *,uint)
001D7A70 CGt2dFont::MakeNumberCharactersFixedWidth(void)
001D7E10 CGt2dFont::GetStringStartAndEnd(ushort const *,float,ushort const **,ushort const **,bool)
001D8150 CGt2dFont::GetStringWidth(const ushort *)
001D8210 CGt2dFont::Prepare(CGtTexture *)
001D8B88 RwOsGetFileInterface
001E1FD0 RwCameraEndUpdate
001E1FF0 RwCameraClear
001E2068 RwCameraDestroy
001E2110 RwCameraSetViewWindow
001E2288 RwCameraSetNearClipPlane
001E2358 RwCameraSetFarClipPlane
001E2A98 RwEngineSetVideoMode
001E2FF8 RwEngineInit
001E4170 RwFrameDestroy
001E75F0 RwRasterDestroy
001E76C8 RwRasterSubRaster
001E8848 _rwFrameSyncHierarchyLTM
001E8A60 FrameSyncHierarchyLTMRecurse
001EB1E8 _rwObjectHasFrameSetFrame
001F3080 _rwDMAOpenVIFPkt
001F4288 _rwDMAYieldCallbackSet
001F4290 _rwDMAMinVsyncCntSet
001F43B0 _rwDMAWaitQueue
001F45C0 _rwDMAPreAlloc
001F6108 SkyCameraClear
001FCA18 setUpFSAA0
001FD490 SkyStart
001FE1A0 SkySystem
001FE540 RpSkyResume
001FF3C8 RpSkyGetModeStructurePtr
001FF4A8 _skyRasterSetTwiddling
0020DD08 RpSkyTexCacheSetStartAddress
0020DF10 RpSkyTexCacheRasterUnlockAll
0020DFB0 RpSkyTexCacheFlush
0020E050 RpSkyTexCacheDisable
0020E310 RpSkySelectTrueTLClipper
00211C30 CGtViewport::SetSubRaster(CGtViewport *,RwRect *)
00211CB0 CGtViewport::SetAspectRatio(float)
00211CC0 CGtViewport::SetFOV(float)
00211D60 CGtViewport::Prepare(void)
00211D70 CGtViewport::Destruct(void)
00212770 CGTFileSystem::FClose(void *)
002127A0 CGTFileSystem::FOpen(char const *,char const *)
00212890 CGTFileSystem::Open(char const *,uint)
002129A0 CGTFileSystem::Init(uint,char const *)
00212BD0 CGTFileSystem::GetFileSystemFromFileName(char const *)
00212CB0 CGTFileSystem::InstallToRenderWare(void)
00212E30 CGtUnicode::FormatString(ushort *,ushort const *,ushort const *,ushort const *,ushort const *,ushort const *,int)
00213360 CGtUnicode::PrintReal(ushort *,float,int)
002136F0 CGtUnicode::PrintInt(const ushort *,int,int)
002138C0 CGtUnicode::AppendN(ushort *,int,ushort const *)
00213940 CGtUnicode::Append(ushort *,ushort const *)
002139A0 CGtUnicode::Copy(ushort *,ushort const *)
00213A30 CGtUnicode::Length(ushort const *)
00213BE0 CGtUnicode::ConvertUTF8toUTF16Fast(uchar const *,ushort *,int)
00213CB0 CGtUnicode::ConvertUTF16toUTF8Fast(ushort const *,uchar *,int)
002149C0 CGtInputManagerPS2Pad2::GetPadControls(EGtPS2InputPort)
00214CD0 CGtInputDevicePS2DualShock2::Update(void)
00215868 scePad2Read
002172C0 CGtInputDevicePS2DualShock::IsControlJustPressed(int)
00217610 CGtFSM::StateEnter(CGtState *,void *)
00217650 CGtFSM::StateLeave(CGtState *,void *)
00217690 CGtFSM::GetStateFromID(ulong)
002176D0 CGtFSM::ApplyEvent(uint,void *)
00217710 CGtFSM::Update(void)
002177C0 CGtFSM::Construct(void *,CGtStateOffset const *,CGtTimer *)
0021A290 Gt2dRenderer::Construct(void)
0021A5F0 CB3MenuInput::Update(float,CB3ControllerMapping *)
0021AB40 GtIDConvertToString(ulong,char *)
0021ADF0 GtIDUnCompress(ulong,char *)
0021AEF0 GtIDCompress(char const *)
0021B4D0 CGtCamera::Construct(void)
0021B770 CB3Settings::Construct(void)
0021B830 GtComms::CGtCommsToolBase::Prepare(char const *,CGTFileSystem *,char const *)
0021B8C0 GtComms::CGtCommsToolBase::Construct(char const *)
0021B910 GtComms::CGtCommsDatabase::RemoveEntry(void *)
0021BB60 GtComms::CGtCommsDatabase::AddEntry(float *,char const *,char const *,char const *,int,float,float,int)
0021BF80 GtComms::CGtCommsDatabase::Construct(GtComms::CGtCommsDatabaseEntry *,int)
0021BFA0 CGtHash::CalculateHash(char const *)
0021C120 CB3StreamedTrack::RenderAfterSpecular(void)
0021C590 CB3StreamedTrack::RenderAfterVehicles(void)
0021C780 CB3StreamedTrack::RenderBeforeVehicles(void)
0021CFF0 CDrawnTrafficCache::IsUnitVisibleToMainCamera(int)
0021D2E0 CB3StaticTrack::RenderAllBackdrops(EBackdropRenderRange,bool,bool)
0021D8E0 CB3SkyDomeRenderer::RelocateGSTextures(void)
0021E350 CB3SkyDomeRenderer::SetProceduralGradientTex0AndFrame(void)
0021E6F0 CB3VehicleRenderer::RenderVehicle(CB3VehicleEssentialParams const *,CB3VehicleParams const *,EVehicleLOD)
0021F790 CB3VehicleRenderer::RenderDeformedObject(EB3VehicleRenderType,GtMathPs2::CGtMatrix3x4 const &,CB3VehicleObject *,float,ushort,ushort,GtMathPs2::CGtMatrix3x4 const *,int,bool)
0021FBB0 CB3VehicleRenderer::RenderObject(EB3VehicleRenderType,GtMathPs2::CGtMatrix3x4 const &,CB3VehicleObject *,float,ushort,ushort,bool)
0021FF60 CB3VehicleRenderer::SetTexture(CGtTexture *,int)
00220040 CB3VehicleRenderer::BeginRenderingSingleVehicle(CB3VehicleEssentialParams const *,CB3VehicleLODData *,float,float)
00220450 CB3VehicleRenderer::SetupCameraFrustum(void)
002204C0 CB3VehicleRenderer::EndVehicleRendering(void)
00220540 CB3VehicleRenderer::BeginVehicleRendering(void)
002208E0 CB3VehicleRenderer::SetupCameraData(void)
